ano,numero,publicacao,assunto,classificacao,permanente,situacao,validade,servidores,link,alteracao
2019,CPV.0015,02/11/2019,Trata da designação dos fiscais do Contrato 004.712/2017 do IFSP-Câmpus Capivari (Internet),F,,revogada pela portaria nº CPV.0137/2019,sem mandado expresso,,https://drive.ifsp.edu.br/s/30Pfa0PChkwc6OU,Altera CPV.0087/2017;0149/2016;0119/2016; 0046/2016; 0028/2016; 0015/2016; 0015/2016; 0095/2015
2019,CPV.0016,02/15/2019,Trata da designação dos fiscais do Contrato 02.712/2019 do IFSP-Câmpus Capivari (Fonseca e Telles Pintura em Geral Eirelli - Limpeza),F,,Alterada pela portaria nº CPV.0179/2019,sem mandado expresso,,https://drive.ifsp.edu.br/s/iAqrRed8CHUe7Hn,
2019,CPV.0017,02/22/2019,Trata da nomeação da Comissãp Eleitoral para a eleição de Coordenador do Curso de Licenciatura em Química do IFSP-Câmpus Capivari,C,,extinta,4/11/2019,,https://drive.ifsp.edu.br/s/O13YdhxfvzqB4Bf,
2019,CPV.0018,02/22/2019,Trata da nomeação da Comissãp Eleitoral para a eleição de Coordenador do Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas do IFSP-Câmpus Capivari,C,,extinta,4/11/2019,,https://drive.ifsp.edu.br/s/FjWGLi16DVv6mb0,
2019,CPV.0019,02/22/2019,Trata da nomeação da Comissãp Eleitoral para a eleição Coordenador do Curso Superior de Tecnologia em Processos Químicos do IFSP-Câmpus Capivari,C,,extinta,4/11/2019,,https://drive.ifsp.edu.br/s/hazczJhUdLdCFbr,
2019,CPV.0020,02/22/2019,Trata da nomeação da Comissãp Eleitoral para a eleição do Coordenador do Curso Técnico em Administração do IFSP-Câmpus Capivari,C,,extinta,4/11/2019,,https://drive.ifsp.edu.br/s/gydT8UMGd5DqZXc,
2019,CPV.0021,02/22/2019,Trata da nomeação da Comissãp Eleitoral para a eleição de Coordenador do Curso Técnico em Informática do IFSP-Câmpus Capivari,C,,extinta,4/11/2019,,https://drive.ifsp.edu.br/s/qWzi9SZG4M5nm4C,
2019,CPV.0022,02/22/2019,Trata da nomeação da Comissãp Eleitoral para a eleição Coordenador do Curso Técnico em Química do IFSP-Câmpus Capivari,C,,extinta,4/11/2019,,https://drive.ifsp.edu.br/s/QAegLlE5YuaIjYc,
2019,CPV.0023,02/25/2019,Trata da revogação de portaria do IFSP-Câmpus Capivari - Comissão Organizadora de Formatura e Colação de Grau,R,,extinta,sem mandado expresso,,https://drive.ifsp.edu.br/s/K0rVoX9mPPzTrbX,revoga CPV.0130/2017
2019,CPV.0024,02/25/2019,Trata da designação dos membros do Colegiado do Curso de Pós-Graduação Lato Sensu em Tecnologia da Informação e Comunicação na Educação do IFSP-Câmpus Capivari,M,,Alterada pela Portaria n CPV.068/2020,"Docentes e dos técnicos em assuntos educacionais ou pedagogos, encerra-se em 24 de fevereiro de 2021. Discentes, encerra-se em 24 de fevereiro de 2020",,https://drive.ifsp.edu.br/s/ojCMm2BZgfjk854,
2019,CPV.0025,03/08/2019,Trata da designação de substituto à função de Coordenador de Contabilidade e Finanças - Valéria da Silva Martins Poletti substituindo Luciana Martins Gatti,S,,extinta,11 a 25/03/2019,,https://drive.ifsp.edu.br/s/hdbdS9Pu5B4I5ly,
2019,CPV.0026,03/08/2019,Comissão para Elaboração e Implementação do Projeto Pedagógico do Curso  (CEIC) Técnico em Química Integrado ao Ensino Médio,C,,Alterada pela portaria n CPV. 0067/2019,sem mandado expresso,,https://drive.ifsp.edu.br/s/7A3OxRfnFLWTpac,Altera CPV.0120/2018; 0081/2018; 63/2018
2019,CPV.0027,03/08/2019,Comissão para Elaboração e Implementação do Projeto Pedagógico do Curso  (CEIC) Técnico em Informática Integrado ao Ensino Médio,C,,Alterada pela Portaria n CPV.0084/2019,sem mandado expresso,,https://drive.ifsp.edu.br/s/MBqXhy4othKTvib,altera CPV.0118/2018; 0043/2018; 0021/2017; 0005/2016.
2019,CPV.0028,03/08/2019,Núcleo de Atendimento às Pessoas com Necessidades Específicas (NAPNE),C,,Alterada pela Portaria nº CPV.0134/2019,"Dois anos para o Representante do NAPNE e para o Secretário - vencimento 15/08/2020, podendo haver recondução por mais um ano. Demais membros não se fala nada - 15/08/2020",,https://drive.ifsp.edu.br/s/uKMsGeMnXYPGZmw,Altera CPV.0159/2018; 0133/2018; 0055/2018; 0129/2017; 0086/2017; 0022/2017; 0121/2016; 0103/2016; 0017/2016; 0133/2015; 0076/2015; 0075/2015;0032/2015/2015; 4224/2014
2019,CPV.0029,03/08/2019,Trata da designação dos fiscais do Contrato 004.712/2019 do IFSP-Câmpus Capivari (Digital Jundiaí Ltda-ME),F,,revogada pela portaria 34/2022,sem mandado expresso,Washington Ernando Pereira Benício ;José Renato Paviotti ,https://drive.ifsp.edu.br/s/cgzZawEjbCYCUZO,
2019,CPV.0030,03/11/2019,Trata da aprovação de Projeto Institucional do IFSP-Câmpus Capivari para o 1º semestre de 2019 - Grupo de Estudos em Redes de Computadores,C,,extinta,sem mandado expresso,,https://drive.ifsp.edu.br/s/0fRNbrGdsYeFyMO,
2019,CPV.0031,03/11/2019,Trata da aprovação de Projeto Institucional do IFSP-Câmpus Capivari para o 1º semestre de 2019 - Grupo de Estudos em Jogos Digitais,C,,extinta,sem mandado expresso,,https://drive.ifsp.edu.br/s/t4pdTJNZk3n23jO,
2019,CPV.0032,03/11/2019,Trata da aprovação de Projeto Institucional do IFSP-Câmpus Capivari para o 1º semestre de 2019 - Grupo de Estudos iNovaAPL,C,,extinta,sem mandado expresso,,https://drive.ifsp.edu.br/s/MOrX0b1JYr87tFR,
2019,CPV.0033,03/11/2019,Trata da aprovação de Projeto Institucional do IFSP-Câmpus Capivari para o 1º semestre de 2019 - Problemas da Educação Brasileira Contemporânea,C,,extinta,sem mandado expresso,,https://drive.ifsp.edu.br/s/2OxLUpmvdpR3Np9,
2019,CPV.0034,03/11/2019,Trata da aprovação de Projeto Institucional do IFSP-Câmpus Capivari para o 1º semestre de 2019 - Fábrica de Software,C,,Alterada pela CPV.0143/2019,sem mandado expresso,,https://drive.ifsp.edu.br/s/nYalcrbyiciIBsl,
2019,CPV.0035,03/11/2019,Trata da aprovação de Projeto Institucional do IFSP-Câmpus Capivari para o 1º semestre de 2019 - Implementação do Selo de Qualidade do CRQ para o Curso Técnico em Química,C,,"Alterada pela CPV,0144/2019",sem mandado expresso,,https://drive.ifsp.edu.br/s/inL9voD17ejYNMf,
2019,CPV.0036,03/11/2019,Trata da aprovação de Projeto Institucional do IFSP-Câmpus Capivari para o 1º semestre de 2019 - Elaboração de Material de Apoio ao Estágio Curricular Obrigatório para o Curso de Licenciatura,C,,extinta,sem mandado expresso,,https://drive.ifsp.edu.br/s/LFzmn6kiJPsSH8s,
2019,CPV.0037,03/11/2019,Trata da aprovação de Projeto Institucional do IFSP-Câmpus Capivari para o 1º semestre de 2019 - Espaço Mind Hacker,C,,extinta,sem mandado expresso,,https://drive.ifsp.edu.br/s/Tejej3J8ideFiC1,
2019,CPV.0038,03/14/2019,Trata da nomeação dos membros do Conselho de Câmpus,C,,Alterada pela portaria nº CPV. 0070/2019,15/11/2019,,https://drive.ifsp.edu.br/s/fqGZeqrZ7ywdGxw,altera CPV.0108/2018; 0071/2018; 0024/2018;  0174/2017.
2019,CPV.0039,03/15/2019,Trata da designação dos membros da Comissão de Extensão,C,,Alterada pela portaria nº CPV. 0057/2019,sem mandado expresso,,https://drive.ifsp.edu.br/s/HfDELzSGlnW5KwL,altera CPV.0116/2018; 0057/2018; 0182/2017; 0118/2017; 0043/2017; 0043/2016; 0003/2016; 
2019,CPV.0040,03/15/2019,Trata da designação dos membros da comissão de avaliação periódica dos serviços da cantina,C,,Alterada pela portaria nº CPV. 0040/2019,sem mandado expresso,,https://drive.ifsp.edu.br/s/hRX1kS9gme3nb4N,
2019,CPV.0041,03/15/2019,Trata da designação dos membros da Comissão Organizadora da VII Semana de Ciência e Tecnologia,C,,Alterada pela Portaria n CPV.0091/2019,21 a 25 de outubro de 2019,,https://drive.ifsp.edu.br/s/sNaqUEb8QP7hrwI,
2019,CPV.0042,03/15/2019,Comissão Organizadora da IV Jornada de Estudos em Computação,C,,extinta,13 e 14 de maio de 2019,,https://drive.ifsp.edu.br/s/JK6VqxSid7rtuMN,
2019,CPV.0043,03/15/2019,Trata da designação dos membros da Comissão Organizadora da VI Semana da Consciência Negra,C,,extinta,18 a 22 de novembro de 2019,,https://drive.ifsp.edu.br/s/gka3STcFLX41GFk,
2019,CPV.0044,03/15/2019,Trata da designação dos membros da Comissão Organizadora da Festa Caipira 2019,C,,extinta,15 de junho de 2019,,https://drive.ifsp.edu.br/s/EGyHPSAZF5XSm67,
2019,CPV.0045,03/15/2019,"Trata da designação dos membros da Comissão Organizadora da I Semana de Linguagens, Arte e Cultura do IFSP-Câmpus Capivari",C,,extinta,02 a 06 de setembro de 2019,,https://drive.ifsp.edu.br/s/kKl3TqdVMExpHyL,
2019,CPV.0046,03/15/2019,Trata da designação dos membros da Comissão Organizadora da I Semana de Humanidades do IFSP-Câmpus Capivari,C,,extinta,21 a 25 de outubro de 2019,,https://drive.ifsp.edu.br/s/VVOcj2GTMqlpPKl,
2019,CPV.0047,03/18/2019,Comissão Anual de Alienação e Outras Formas de Desfazimento de Bens Inservíveis,C,,Alterada pela portaria nº CPV. 0088/2019,3/17/2020,,https://drive.ifsp.edu.br/s/JAzmXpA5W1x9kKp,
2019,CPV.0048,03/25/2019,Trata da designação de substituto à função de Coordenador de Gestão de Pessoas,S,,extinta,09 a 18/04/2019,,https://drive.ifsp.edu.br/s/OpdQt2HYxCN9zrj,
2019,CPV.0049,03/26/2019,Trata da designação de substituta à função de Coordenadora de Apoio à Direção do IFSP-Câmpus Capivari.,S,,extinta,27/03/2019 a 08/04/2019,,https://drive.ifsp.edu.br/s/XYX0xpN58P0K9qB,
2019,CPV.0050,03/26/2019,Trata da designação de substituto à função de Coordenadora de Tecnologia da Informação do IFSP-Câmpus Capivari.,S,,extinta,02 a 05 de maio de 2019,,https://drive.ifsp.edu.br/s/Lbl0e3Cbkb9gtLL,
2019,CPV.0051,03/26/2019,Trata da designação de substituto à função de Coordenadora de Tecnologia da Informação do IFSP-Câmpus Capivari.,S,,extinta,08 a 18 de abril de 2019,,https://drive.ifsp.edu.br/s/XetHQQstclH25Ag,
2019,CPV.0052,03/26/2019,Trata da designação de orientador de estágio curricular do Curso Técnico em Química Integrado ao Ensino Médio do IFSP-Câmpus Capivari.,C,,extinta,sem mandado expresso,,https://drive.ifsp.edu.br/s/SYNtd8b2yP9pF6u,Revoga CPV.0086/2016
2019,CPV.0053,03/26/2019,Trata da designação de orientador de estágio curricular do Curso Superior de Tecnologia em Processos Químicos do IFSP-Câmpus Capivari.,C,,extinta,sem mandado expresso,,https://drive.ifsp.edu.br/s/3wnzYBPojbG8J8H,Revoga CPV.0087/2016
2019,CPV.0054,03/26/2019,Trata da designação de orientador de estágio curricular do Curso Técnico em Química Concomitante/ Subsequente do IFSP-Câmpus Capivari.,C,,extinta,sem mandado expresso,,https://drive.ifsp.edu.br/s/XuMfvxQ8mY5yjxs,Revoga CPV.0089/2016
2019,CPV.0055,04/03/2019,"Trata da designação de substituto à função de Coordenador de Manutenção, Almoxarifado e Patrimônio do IFSP-Câmpus Capivari.",S,,extinta,08 a 12 de abril de 2019,,https://drive.ifsp.edu.br/s/mumwmdyDfNij2Kl,
2019,CPV.0056,04/04/2019,Trata da designação dos fiscais do Contrato 03.712/2019 do IFSP-Câmpus Capivari. (DELL),F,,revogada pela portaria nº CPV. 0185/2020,05 de abril de 2019 até o vencimento do contrato e de sua garantia quando houver,,https://drive.ifsp.edu.br/s/41sX7OCaZqfqYzC,
2019,CPV.0057,04/04/2019,Trata da designação dos membros da Comissão de Extensão do IFSP-Câmpus Capivari.,C,,Alterada pela portaria nº CPV.0085/2019,sem mandado expresso,,https://drive.ifsp.edu.br/s/qx9j4k0MxYBEsEC,altera CPV.0039/2019;CPV.0116/2018; 0057/2018; 0182/2017; 0118/2017; 0043/2017; 0043/2016; 0003/2016; 
2019,CPV.0058,04/04/2019,Trata da aprovação de Projeto Institucional do IFSP-Câmpus Capivari para o 1ª semestre de 2019.,C,,extinta,sem mandado expresso,,https://drive.ifsp.edu.br/s/9WB13da6OakvJoc,
2019,CPV.0059,04/04/2019,Trata da designação dos membros da Comissão para Avaliação de Atividade Docente - CAAD de Ciências Humanas e Sociais do IFSP - Câmpus Capivari.,M,,Alterada pela Portaria nº CPV.0034/2020,encerra em 18/05/2020,,https://drive.ifsp.edu.br/s/UMYayzom2Vzfw28,altera CPV.0088/2018
2019,CPV.0060,04/05/2019,Trata da designação dos membros do Núcleo Docente Estruturante do Curso de Bacharelado em Química Tecnológica do IFSP - Câmpus Capivari.,M,,Revogada pela Portaria CPV IFSP nº 30/2022,encerra em 04/04/2022,"Ademir Geraldo Cavallari Costalonga;Alexandre Santa Barbara Azevedo;André Luis de Castro Peixoto;José Ricardo Turquetti;Luís Eduardo Pais dos Santos;Mateus Nordi Esperança;Mayumi Silva Kawamoto – 1º Suplente;Everton Pereira Barbosa – 2º Suplent",https://drive.ifsp.edu.br/s/FDkcQ2Jm6YyIz7N,
2019,CPV.0061,04/05/2019,Trata da designação dos membros da Comissão de Avaliação Periódica dos Serviços da Cantina do IFSP-Câmpus Capivari.,C,,extinta,sem mandado expresso,,https://drive.ifsp.edu.br/s/mXudsWN6eb8j2jn,altera CPV.0040/2019
2019,CPV.0062,04/05/2019,"Trata da revogação da  Portaria nº CPV.0158/2018, de 12 de novembro de 2018. (aproveitamento de estudos)",R,,extinta,sem mandado expresso,,https://drive.ifsp.edu.br/s/f1x6wgJnXjqsrbV,Revoga CPV.0158/2018; 0153/2018
2019,CPV.0063,04/05/2019,Trata da designação dos membros da Comissão Verificadora de Aproveita-mento de Estudos da Área de Linguagens do Curso Técnico em Administração Integrado ao Ensino Médio na Modalidade de Educação de Jovens e Adultos do IFSP – Câmpus Capivari.,C,,revogada pela Portaria nº CPV.0105/2019,sem mandado expresso,,https://drive.ifsp.edu.br/s/RHMmG7RQzquJE10,
2019,CPV.0064,04/05/2019,Trata da designação dos membros da Comissão Verificadora de Aproveita-mento de Estudos do Curso de Análise e Desenvolvimento de Sistemas do IFSP – Câmpus Capivari,C,,Alterada pela portaria nº CPV.0039/2020,sem mandado expresso,,https://drive.ifsp.edu.br/s/z8R2FAQGwFm8att,Altera CPV.008/2018
2019,CPV.0065,04/05/2019,Trata da designação de substituta à função de Coordenadora de Biblioteca do IFSP-Câmpus Capivari.,S,,extinta,08 a 18 de abril de 2019,,https://drive.ifsp.edu.br/s/WFsuOnA1jEm8N9k,
2019,CPV.0066,04/12/2019,Trata da designação dos membros da Comissão para Elaboração e Implementação do Projeto Pedagógico do Curso (CEIC) Técnico em Alimentos Integra-do ao Ensino Médio – Modalidade PROEJA do IFSP-Câmpus Capivari.,C,,Alterada pela portaria nº CPV.0114/2019,encerra 11 de abril de 2022,,https://drive.ifsp.edu.br/s/QrknPPcVM66iNKm,
2019,CPV.0067,04/12/2019,Trata da designação dos membros da Comissão para Elaboração e Imple-mentação do Projeto Pedagógico do Curso Técnico em Química Integrado ao Ensino Médio do IFSP-Câmpus Capivari.,C,,Alterada pela portaria nº CPV.0086/2019,sem mandado expresso,,https://drive.ifsp.edu.br/s/gdjSfhhtMegCPB4,Altera nº CPV.0026/2019; CPV.0120/2018; 0081/2018; 0063/2018
2019,CPV.0068,04/18/2019,Trata da designação dos membros da Comissão Especial de Compras e Acompanhamento das Ações de Alimentação Escolar do IFSP – Câmpus Capivari.,C,,Alterada pela Portaria nº CPV.0044/2020,sem mandado expresso,,https://drive.ifsp.edu.br/s/EMEBVCNhA7ySHgi,
2019,CPV.0069,04/30/2019,Trata da designação de substituto à função de Coordenadora de Apoio à Direção do IFSP-Câmpus Capivari.,S,,extinta,02 de maio a 20 de setembro de 2019,,https://drive.ifsp.edu.br/s/IpE7BjofYvAxNan,
2019,CPV.0070,05/02/2019,Trata da nomeação dos membros do Conselho de Câmpus do IFSP-Câmpus Capivari.,M,,Alterada pela portaria nº CPV.0095/2019,encerra em 15 de novembro de 2019,,https://drive.ifsp.edu.br/s/pKk0JN4KaFFQ34J,altera CPV.0038/2019; CPV.0108/2018; 0071/2018; 0024/2018;  0174/2017.
2019,CPV.0071,05/02/2019,Trata da designação dos membros da Comissão de Comunicação do IFSP - Câmpus Capivari.,C,,Alterada pela Portaria nº CPV.0025/2021,sem mandado expresso,,https://drive.ifsp.edu.br/s/ZRVIE5fm7KyQfck,altera CPV.041/2018; 0003/2017; 0091/2016
2019,CPV.0072,05/02/2019,"Trata da composição do Comitê de Pesquisa, Inovação e Pós-Graduação (COMPESQ) do IFSP-Câmpus Capivari.",C,,extinta,encerra em 25 de junho de 2019,,https://drive.ifsp.edu.br/s/FM9a4yPpiEKnjKX,altera CPV.0025/2018; 0098/2017
2019,CPV.0073,05/02/2019,Trata da designação dos membros da Comissão de Eventos e Atividades do IFSP - Câmpus Capivari.,C,,revogada pela portaria nº CPV.0062/2020,sem mandado expresso,,https://drive.ifsp.edu.br/s/eFawOxO1EXoEL3m,altera CPV.044/2018; 0025/2017
2019,CPV.0074,05/02/2019,Trata da designação dos membros da Comissão para Elaboração e Acompanhamento do Projeto Político Pedagógico do IFSP - Câmpus Capivari.,C,,Alterada pela Portaria nº CPV.0030/2020,sem mandado expresso,,https://drive.ifsp.edu.br/s/KFJmZgfq0TfBmXv,altera CPV.046/2018; 0071/2017
2019,CPV.0075,05/02/2019,Trata da designação dos membros da Comissão para Elaboração e Imple-mentação do Projeto Pedagógico do Programa Universidade da Maturi-dade do IFSP – Câmpus Capivari.,C,,revogada pela portaria nº CPV.0063/2020,sem mandado expresso,,https://drive.ifsp.edu.br/s/JU00UpNCmz1isTw,altera CPV.0050/2018;  0107/2017
2019,CPV.0076,05/02/2019,Trata da designação dos membros da Comissão de Políticas de Manutenção e Conservação do IFSP – Câmpus Capivari,M,,revogada pela portaria nº CPV.0177/2019,sem mandado expresso,,https://drive.ifsp.edu.br/s/uh424o4MPIZaLgU,altera CPV.067/2018
2019,CPV.0077,05/02/2019,Trata da designação dos membros da Brigada de Incêndio do IFSP – Câmpus Capivari.,C,,Alterada pela portaria nº CPV.0176/2019,sem mandado expresso,,https://drive.ifsp.edu.br/s/Vy9McO8Phs18tTB,altera CPV.069/2018
2019,CPV.0078,05/02/2019,Trata da designação dos membros do Núcleo Docente Estruturante do Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas do IFSP - Câmpus Capivari.,M,,Alterada pela Portaria nº CPV.0168/2019,"Art. 49 0 mandato do membro Rafael Fernando Diorio se encerra em 08 de abrilde 2023  /Art. 59 0 mandato dos membros Adriana Morais da Salva e Wagner Machado doAmaral se encerra em 08 de abril de 2022  /Art. 60 O mandato dos membros Karlan Ricomini Alves e Rolando Ruggiero e dossuplentes encerra-se em 08 de abril de 2021","Rafael Fernando Diorio;Adriana Morais da Silva;Karlan Ricomini Alves;Rolando Ruggiero;Wagner Machado do Amara",https://drive.ifsp.edu.br/s/48Q2pXXMEqsTdqi,altera CPV.0074/2018
2019,CPV.0079,05/02/2019,Trata da designação dos membros do Núcleo Docente Estruturante do Curso Superior de Tecnologia em Processos Químicos do IFSP - Câmpus Capivari.,M,,Alterada pela Portaria nº CPV.0177/2020,"Art. 3º O mandato dos membros Ademir Geraldo Cavallari Costalonga eElizabeth Machado Baptestini Andrade se encerra em 15 de abril de 2023.  /Art. 4º O mandato dos membros José Ricardo Turquetti e Alexandre SantaBárbara Azevedo se encerra em 15 de abril de 2022/Art. 5º 0 mandato dos membros Gustavo Matarazzo Rezende e André Luas deCastro Peixoto e do suplente Everton Pereira Barbosa se encerra em 15 de abril de 2021",,https://drive.ifsp.edu.br/s/dWpAdse2KOY2pXv,altera CPV.0078/2018
2019,CPV.0080,05/02/2019,"Trata da designação dos membros da Comissão para Elaboração e Implementação do Projeto Pedagó-gico do Curso (CEIC)  Técnico em Adminis-tração Integrado ao Ensino Médio, modalidade Educação de Jovens e Adultos do IFSP - Câmpus Capivari",C,,extinta,Art. 3º - O mandato da comissão estende-se até a formatura da primeira turma do curso (19/12/2019),,https://drive.ifsp.edu.br/s/hjnjWCqzmc0geME,altera CPV.107/2018; 0056/2018; 0158/2017; 0037/2017; 0130/2016; 0024/2016; 0006/2015
2019,CPV.0081,05/02/2019,Trata da designação dos membros do Colegiado do Curso Superior de Tecnologia em Processos Químicos do IFSP - Câmpus Capivari.,M,,Alterada pela Portaria nº CPV.0149/2019,"Art. 4º - O mandato dos representantes docentes, pedagogos ou técnicos emassuntos educacionais encerra-se em 01 de setembro de 2020.   /Art. 5º O mandato dos representantes discentes encerra-se em 02 de setembrode 2019",,https://drive.ifsp.edu.br/s/PprciOltPHRXn7s,altera CPV.139/2018
2019,CPV.0082,05/02/2019,Trata da designação dos membros da Subcomissão para Permanência e Êxito dos Estudantes do IFSP - Câmpus Capivari,C,,Alterada Pela portaria CPV.0163/2019,sem mandado expresso,,https://drive.ifsp.edu.br/s/3w55hcc7sjNR5a7,altera CPV.156/2018;0052/2018; 0116/2017
2019,CPV.0083,05/02/2019,Trata da designação dos membros da Subcomissão Permanente de Acompanhamento da Jornada de Trabalho dos Servidores Técnico-Administrativos do IFSP - Câmpus Capivari.,C,,Alterada Pela portaria CPV.0092/2019,encerra com a formatura da primeira turma do novo curriculo a ser proposto,,https://drive.ifsp.edu.br/s/uPODtMcqLOrk2Eq,altera CPV.0175/2018
2019,CPV.0084,05/02/2019,Trata da designação dos membros da Comissão para Elaboração e Implementação do Projeto Pedagógico do Curso Técnico em Informática Integrado ao Ensino Médio do IFSP - Câmpus Capivari.,C,,Alterada Pela Portaria nº CPV.0131/2019,Até formatura da primeira turma do curso,,https://drive.ifsp.edu.br/s/UraWxTsayfL4KCL,altera CPV.0027/2019; 0118/2018; 0043/2018; 0021/2017; 0005/2016.
2019,CPV.0085,05/02/2019,Trata da designação dos membros da Comissão de Extensão do IFSP - Câmpus Capivari.,C,,Alterada pela Portaria nº CPV.0178/2020,sem mandado expresso,,https://drive.ifsp.edu.br/s/ompkOwsh7V18kJs,altera CPV.0057/2019; 0039/2019;CPV.0116/2018; 0057/2018; 0182/2017; 0118/2017; 0043/2017; 0043/2016; 0003/2016; 
2019,CPV.0086,05/02/2019,Trata da designação dos membros da Comissão para Elaboração e Imple-mentação do Projeto Pedagógico do Curso Técnico em Química Integrado ao Ensino Médio do IFSP-Câmpus Capivari.,C,,Alterada pela Portaria nº CPV.0032/2020,encerra com a formatura da primeira turma do novo curriculo a ser proposto,,https://drive.ifsp.edu.br/s/wV3JBuwPKAUN19L,altera CPV.0067/2019; 0026/2019; CPV.0120/2018; 0081/2018; 0063/2018
2019,CPV.0087,05/02/2019,Trata da designação dos membros da Comissão para Elaboração e Implementação do Projeto Pedagógico do Curso (CEIC) Técnico em Recursos Humanos Concomitante/Subsequente do IFSP-Câmpus Capivari.,C,,Alterada pela portaria CPV.0155/2019,encerra com a formatura da primeira turma ,,https://drive.ifsp.edu.br/s/v5SlRLZP08L1jZy,altera CPV.00161/2018; 0106/2018; 0030/2018
2019,CPV.0088,05/02/2019,Trata da designação dos membros da Comissão Especial de Alienação e Destinação de Bens Móveis do IFSP – Câmpus Capivari.,C,,extinta,encerra 31 de dezembro de 2019,,https://drive.ifsp.edu.br/s/octnswO6Kw2ywQL,altera CPV.0047/2019
2019,CPV.0089,05/06/2019,Trata da designação dos membros da Comissão de Relações Internacionais do IFSP – Câmpus Capivari.,C,,Alterada pela Portaria nº CPV.0041/2020,sem mandado expresso,,https://drive.ifsp.edu.br/s/CilpU4vyV2Tb8tA,altera CPV.0051/2018;  0114/2017; 0027/2015; 2.157/2014; 861/2014
